stations,lon,lat,year,hour,PM25
2656A,106.6692,35.5461,20180101,12,33
1439A,106.6856,26.6029,20180101,12,23
1447A,106.6867,26.5495,20180101,12,18
1444A,106.6948,26.5155,20180101,12,29
1440A,106.6971,26.5689,20180101,12,24
2657A,106.7039,35.5294,20180101,12,62
1950A,106.7096,39.1292,20180101,12,85
1445A,106.7105,26.6009,20180101,12,23
1446A,106.7164,26.5697,20180101,12,25
2558A,106.7389,31.8711,20180101,12,57
1442A,106.7487,26.6343,20180101,12,31
2914A,106.7513889,31.87888889,20180101,12,73
2559A,106.7594,31.8531,20180101,12,86
2915A,106.7619444,31.85805556,20180101,12,49
1949A,106.7704,39.2282,20180101,12,109
2188A,106.7931,39.6572,20180101,12,34
1552A,106.805,26.3003,20180101,12,19
2186A,106.8219,39.6719,20180101,12,42
1913A,106.8906,27.6486,20180101,12,43
1915A,106.9178,27.72,20180101,12,46
1911A,106.9222,27.6869,20180101,12,44
1912A,106.9242,27.7019,20180101,12,23
2634A,106.9893,33.1842,20180101,12,132
2637A,107.007,33.0323,20180101,12,106
2636A,107.0089,33.1138,20180101,12,149
2635A,107.0154,33.0706,20180101,12,140
1931A,107.0708,34.3017,20180101,12,100
1934A,107.1186,34.3739,20180101,12,109
1932A,107.1906,34.3672,20180101,12,114
1936A,107.2058,34.3497,20180101,12,97
1937A,107.2386,34.3622,20180101,12,106
2521A,107.3476,22.4137,20180101,12,57
2522A,107.3701,22.3708,20180101,12,68
2196A,107.3715,40.7378,20180101,12,46
1935A,107.3906,34.3528,20180101,12,148
2195A,107.4211,40.7608,20180101,12,45
2552A,107.4611,31.2058,20180101,12,123
2550A,107.4967,31.2108,20180101,12,105
2551A,107.5069,31.1956,20180101,12,102
2549A,107.525,31.215,20180101,12,102
2548A,107.5272,31.2797,20180101,12,121
2194A,107.5936,40.916,20180101,12,52
2662A,107.6364,35.7067,20180101,12,141
2661A,107.6406,35.5236,20180101,12,119
2660A,107.6831,35.7289,20180101,12,90
2881A,107.8908333,26.53111111,20180101,12,48
2591A,107.9783,26.5747,20180101,12,53
2517A,108.054,24.6928,20180101,12,66
2518A,108.1009,24.6967,20180101,12,75
2516A,108.2134,24.7121,20180101,12,67
1406A,108.239,22.8464,20180101,12,73
1408A,108.244,22.7833,20180101,12,88
1401A,108.301,22.7875,20180101,12,83
1402A,108.316,22.8561,20180101,12,80
2499A,108.3411,21.6158,20180101,12,87
2501A,108.3506,21.6414,20180101,12,97
2500A,108.3511,21.7631,20180101,12,90
1404A,108.383,22.805,20180101,12,76
1405A,108.439,22.7906,20180101,12,83
2504A,108.5989,21.7431,20180101,12,87
2502A,108.6236,21.9667,20180101,12,86
2503A,108.6553,21.9508,20180101,12,81
1919A,108.6761,34.3181,20180101,12,230
1918A,108.7197,34.3956,20180101,12,182
1920A,108.7233,34.3617,20180101,12,314
1921A,108.7369,34.3164,20180101,12,227
1472A,108.869,34.378,20180101,12,188
1462A,108.882,34.2749,20180101,12,173
1467A,108.883,34.2303,20180101,12,184
1469A,108.906,34.1546,20180101,12,150
1468A,108.935,34.3474,20180101,12,261
1466A,108.954,34.2713,20180101,12,234
1925A,108.9589,34.8731,20180101,12,104
1473A,108.985,34.1978,20180101,12,189
1463A,108.993,34.2629,20180101,12,185
2644A,109.0072,32.6975,20180101,12,82
2643A,109.0281,32.6939,20180101,12,98
2642A,109.0311,32.6778,20180101,12,75
1464A,109.06,34.2572,20180101,12,166
1922A,109.0656,35.0994,20180101,12,65
1923A,109.0697,35.0697,20180101,12,86
1868A,109.0981,21.4661,20180101,12,231
1867A,109.1436,21.4086,20180101,12,95
1869A,109.1778,21.5233,20180101,12,102
2586A,109.1794,27.7231,20180101,12,56
2585A,109.1916,27.7297,20180101,12,52
1470A,109.2,34.6575,20180101,12,149
2519A,109.2131,23.7208,20180101,12,104
1471A,109.2186,34.3731,20180101,12,172
1866A,109.2256,21.5958,20180101,12,103
2520A,109.2317,23.7369,20180101,12,106
1872A,109.3886,24.3406,20180101,12,63
1874A,109.3957,24.3663,20180101,12,106
1871A,109.4108,24.3304,20180101,12,79
1926A,109.4131,36.6275,20180101,12,52
1873A,109.4221,24.299,20180101,12,88
1941A,109.4266,34.5021,20180101,12,201
1940A,109.4636,34.493,20180101,12,164
2455A,109.4689,30.2819,20180101,12,68
1927A,109.4761,36.6028,20180101,12,82
1928A,109.4824,36.5767,20180101,12,85
1875A,109.4839,24.3158,20180101,12,86
1870A,109.4883,24.3898,20180101,12,89
1877A,109.4964,18.2681,20180101,12,21
2454A,109.5039,30.2989,20180101,12,64
1939A,109.5049,34.5004,20180101,12,167
1929A,109.5056,36.6106,20180101,12,114
1876A,109.5078,18.2489,20180101,12,20
1938A,109.5293,34.5101,20180101,12,163
2505A,109.5681,23.1478,20180101,12,82
2508A,109.5683,23.1036,20180101,12,80
2507A,109.6014,23.0944,20180101,12,87
2506A,109.6042,23.0672,20180101,12,76
2492A,109.6414,28.2558,20180101,12,32
2494A,109.6958,28.2675,20180101,12,79
2640A,109.7289,38.2839,20180101,12,77
2493A,109.7325,28.3169,20180101,12,88
2641A,109.7336,38.2478,20180101,12,88
2639A,109.7456,38.2911,20180101,12,78
1593A,109.7736,39.5986,20180101,12,20
1586A,109.8104,40.6575,20180101,12,115
1594A,109.8119,39.5989,20180101,12,30
1588A,109.8538,40.6821,20180101,12,75
1585A,109.8756,40.6532,20180101,12,56
2645A,109.9154,33.8715,20180101,12,54
2482A,109.9333,27.5733,20180101,12,89
2483A,109.9453,27.5444,20180101,12,80
1592A,109.9486,39.8261,20180101,12,22
1595A,109.9734,39.7884,20180101,12,19
2484A,109.9792,27.5342,20180101,12,90
2485A,109.9972,27.5578,20180101,12,124
1587A,110.0067,40.5905,20180101,12,137
2486A,110.0394,27.583,20180101,12,100
2509A,110.1106,22.7019,20180101,12,83
2511A,110.1433,22.6164,20180101,12,67
2510A,110.1675,22.6411,20180101,12,66
1863A,110.2819,25.2697,20180101,12,104
1411A,110.283,20.0053,20180101,12,58
1865A,110.2869,25.2178,20180101,12,104
1864A,110.3089,25.2708,20180101,12,111
1413A,110.33,20.0356,20180101,12,66
1684A,110.3316,21.2679,20180101,12,74
1412A,110.338,19.9969,20180101,12,53
1680A,110.3539,21.2706,20180101,12,69
1681A,110.3928,21.2228,20180101,12,62
1682A,110.4019,21.1997,20180101,12,69
1683A,110.4111,21.2028,20180101,12,60
1862A,110.4144,25.3167,20180101,12,94
1861A,110.4417,29.315,20180101,12,70
1685A,110.4558,21.2567,20180101,12,62
1859A,110.4697,29.1242,20180101,12,140
1858A,110.48,29.1389,20180101,12,155
1860A,110.5594,29.3547,20180101,12,69
1409A,110.576,19.9507,20180101,12,44
2430A,110.7258,32.6389,20180101,12,80
2429A,110.78,32.6494,20180101,12,59
1689A,110.8592,21.6828,20180101,12,68
2431A,110.8839,32.5714,20180101,12,68
1688A,110.9067,21.6669,20180101,12,79
1687A,110.9294,21.6533,20180101,12,63
2178A,110.9678,35.0308,20180101,12,211
2175A,110.9956,35.0147,20180101,12,230
2176A,111.0233,35.0611,20180101,12,220
1686A,111.0286,21.4689,20180101,12,66
2179A,111.0414,35.1147,20180101,12,199
2428A,111.0419,32.395,20180101,12,52
2866A,111.0522222,35.04388889,20180101,12,215
2867A,111.1283333,37.51,20180101,12,63
2185A,111.1297,37.5136,20180101,12,139
2183A,111.1406,37.5211,20180101,12,107
1838A,111.1489,34.7997,20180101,12,82
1836A,111.158,34.794,20180101,12,85
3039A,111.19,34.7822,20180101,12,94
1835A,111.1928,34.7772,20180101,12,92
2497A,111.2353,23.415,20180101,12,83
2498A,111.26,23.4794,20180101,12,76
1842A,111.268,30.696,20180101,12,121
2495A,111.2897,23.4792,20180101,12,73
1840A,111.2992,30.698,20180101,12,112
1839A,111.3009,30.7157,20180101,12,97
2496A,111.3178,23.475,20180101,12,82
1843A,111.3296,30.7819,20180101,12,97
1841A,111.3549,30.6463,20180101,12,113
2466A,111.4328,27.2272,20180101,12,106
2465A,111.4503,27.2537,20180101,12,107
2463A,111.4733,27.2317,20180101,12,121
2464A,111.4908,27.2582,20180101,12,106
1737A,111.4917,36.0417,20180101,12,151
1736A,111.5025,36.0875,20180101,12,156
1734A,111.5028,36.0714,20180101,12,158
3018A,111.505,36.10139,20180101,12,170
1735A,111.5169,36.0822,20180101,12,178
2462A,111.5239,27.3033,20180101,12,84
2514A,111.5269,24.4175,20180101,12,96
1096A,111.551,40.7866,20180101,12,135
1733A,111.5531,36.0783,20180101,12,158
2515A,111.5622,24.4072,20180101,12,93
2481A,111.5989,26.4519,20180101,12,84
2480A,111.5992,26.4364,20180101,12,88
1093A,111.608,40.8144,20180101,12,132
2478A,111.6156,26.4214,20180101,12,91
2477A,111.6217,26.2081,20180101,12,89
2479A,111.6236,26.2331,20180101,12,90
1090A,111.651,40.7579,20180101,12,28
1091A,111.658,40.8033,20180101,12,33
1092A,111.659,40.8452,20180101,12,38
3140A,111.6625,29.0531,20180101,12,83
3139A,111.6892,28.9881,20180101,12,80
1854A,111.6975,28.9703,20180101,12,81
3138A,111.7153,29.0289,20180101,12,83
1857A,111.7158,29.1456,20180101,12,81
1097A,111.717,40.7612,20180101,12,50
1095A,111.7277,40.8062,20180101,12,21
1094A,111.751,40.8369,20180101,12,68
1701A,111.9494,21.865,20180101,12,81
1700A,111.9508,21.8536,20180101,12,93
2490A,111.9561,27.7569,20180101,12,64
1699A,111.9786,21.8586,20180101,12,99
2491A,111.9892,27.7044,20180101,12,50
2488A,111.9975,27.725,20180101,12,62
2487A,111.9975,27.725,20180101,12,50
2489A,112.0194,27.7314,20180101,12,64
1713A,112.0369,22.9394,20180101,12,75
1712A,112.0392,22.9169,20180101,12,73
1714A,112.0539,22.9539,20180101,12,62
2433A,112.1392,32.0564,20180101,12,93
2432A,112.155,32.0197,20180101,12,103
